mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_border_count,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
20.979912757873535,0.0,0.35858360926310223,0.00046586316554041537,32,6,500,1,0.03,"{'border_count': 32, 'depth': 6, 'iterations': 500, 'l2_leaf_reg': 1, 'learning_rate': 0.03}",0.709886035646242,0.7257102332750927,0.7122352880537229,0.7159438523250192,0.006972153869261262,10,0.9981140663433025,0.9986998000045976,0.9984002182647949,0.9984046948708983,0.00023914571638117317
18.029275337855022,1.978562210484294,0.16302927335103354,0.1400320483942775,32,6,500,1,0.05,"{'border_count': 32, 'depth': 6, 'iterations': 500, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.706057215507089,0.7146647118371906,0.7101643496701225,0.7102954256714673,0.0035152177700937736,45,0.9997085124479896,0.9998928760258384,0.9998571541430811,0.9998195142056363,7.983339266844818e-05
16.711222569147747,0.01162127292988626,0.04678114255269369,0.016615424619755684,32,6,500,1,0.1,"{'border_count': 32, 'depth': 6, 'iterations': 500, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.7087432687908902,0.7024433531204701,0.6948357239632422,0.7020074486248675,0.005686091823049441,69,0.9999990804809085,0.9999986207213627,1.0,0.9999992337340903,5.734209001873367e-07
16.98914607365926,0.12369918817855481,0.023871898651123047,0.009779190311073549,32,6,500,3,0.03,"{'border_count': 32, 'depth': 6, 'iterations': 500, 'l2_leaf_reg': 3, 'learning_rate': 0.03}",0.7113503205075208,0.7134888745583721,0.7194531986333648,0.7147641312330858,0.00342868956214779,20,0.9967278913128433,0.9975182179720007,0.997876143915134,0.9973740843999926,0.00047972344435912153
16.171437581380207,0.12639697935350397,0.046663363774617515,0.014876621627256895,32,6,500,3,0.05,"{'border_count': 32, 'depth': 6, 'iterations': 500, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",0.7196216008657103,0.6981350118410489,0.7131207292648445,0.710292447323868,0.00899695359670578,46,0.9995209305533206,0.9998078205098733,0.9995521713488874,0.9996269741373603,0.00012851213863601562
17.891410271326702,0.9289342737731159,0.04749647776285807,0.010613773079256348,32,6,500,3,0.1,"{'border_count': 32, 'depth': 6, 'iterations': 500, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.7207974381445288,0.7130497728245633,0.7016578552073516,0.7118350220588145,0.007860772791502399,36,0.9999880462518103,0.9999917243281764,0.9999912730826963,0.9999903478875609,1.6378951874499026e-06
17.211852232615154,0.14563329622460605,0.03832054138183594,0.0032902196925073592,32,6,500,5,0.03,"{'border_count': 32, 'depth': 6, 'iterations': 500, 'l2_leaf_reg': 5, 'learning_rate': 0.03}",0.7187856540503001,0.7200809123027487,0.7123383747643732,0.7170683137058074,0.0033861153039439745,5,0.9954074618974277,0.9968681179742994,0.9967508308943897,0.9963421369220389,0.0006626472747007262
16.857303301493328,0.1625214528064161,0.07050108909606934,0.027970933583648855,32,6,500,5,0.05,"{'border_count': 32, 'depth': 6, 'iterations': 500, 'l2_leaf_reg': 5, 'learning_rate': 0.05}",0.7130497728245633,0.7156568245411938,0.7203662523562677,0.7163576165740082,0.0030277659849471715,8,0.9992643847267878,0.999618859336567,0.999461686995791,0.9994483103530486,0.00014502244233870703
17.390236536661785,0.3054668621822784,0.06103658676147461,0.010627499829273163,32,6,500,5,0.1,"{'border_count': 32, 'depth': 6, 'iterations': 500, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",0.7076978759601906,0.710255322041621,0.7063648680490104,0.7081060220169407,0.0016142790898489524,55,0.9999742534654376,0.9999852876945358,0.9999756564938369,0.9999783992179369,4.904450670142174e-06
27.155749797821045,0.32357337197785063,0.04304051399230957,0.0013071228095428513,32,6,800,1,0.03,"{'border_count': 32, 'depth': 6, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.03}",0.7136285052352317,0.7231601361766549,0.707890919533459,0.714893186981782,0.006297449704139798,18,0.9997195466770878,0.9999121859267603,0.999785501558903,0.9998057447209171,7.993668050334831e-05
27.958146333694458,0.9512855819443417,0.04524644215901693,0.008627219331658038,32,6,800,1,0.05,"{'border_count': 32, 'depth': 6, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.7092466741258845,0.7135807368457798,0.7045995081291234,0.7091423063669292,0.003667313893215345,51,0.9999889657709018,0.9999958621640882,0.9999885172140741,0.999991115049688,3.36170811276082e-06
32.10378781954447,4.475522287650641,0.04326367378234863,0.005964270816424436,32,6,800,1,0.1,"{'border_count': 32, 'depth': 6, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.7089453658231872,0.7037771935336299,0.6953879741988691,0.7027035111852288,0.005586609720437728,68,1.0,1.0,1.0,1.0,0.0
32.03690377871195,0.28297778376128674,0.11643060048421223,0.08082537093418246,32,6,800,3,0.03,"{'border_count': 32, 'depth': 6, 'iterations': 800, 'l2_leaf_reg': 3, 'learning_rate': 0.03}",0.7128605365125034,0.7188720046004634,0.717746745405278,0.7164930955060815,0.0026093633572779077,6,0.999396795475966,0.9997806946966736,0.999546200300206,0.9995745634909486,0.00015800423170872382
