mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
77.58133522669475,1.8633687978510012,0.1723321278889974,0.09553602249970099,6,500,1,0.03,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 1, 'learning_rate': 0.03}",0.748900482446361,0.8826814104027553,0.9782850279953914,0.8699556402815025,0.09407718941758421,34,0.999638009773292,0.998303753772027,0.9964353956264473,0.9981257197239222,0.0013135083897983064
82.32745178540547,2.947283370797731,0.15255109469095865,0.03295935574085053,6,500,1,0.05,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.7442989870491887,0.8837545004490457,0.9833546678084534,0.8704693851022293,0.09804514383062708,33,0.9999873414460598,0.9998192269665396,0.999553841493585,0.9997868033020615,0.00017845451841215905
87.51666887601216,2.8114553862675042,0.1939996878306071,0.12659567327027063,6,500,1,0.1,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.7520868847609665,0.8797943717848383,0.984950089764693,0.8722771154368326,0.0952144944092131,29,1.0,1.0,0.999985120647123,0.9999950402157077,7.014194212676314e-06
93.68400732676189,1.4960912206060613,0.16399439175923666,0.043051729081102254,6,500,3,0.03,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 3, 'learning_rate': 0.03}",0.7471353914513454,0.883360974877434,0.9787780453593742,0.8697581372293847,0.09505562466769336,35,0.9991729744759137,0.9965790813176622,0.9927864008932941,0.99617948556229,0.0026225735588460072
97.27100046475728,1.267620820455174,0.08866969744364421,0.013101636475803266,6,500,3,0.05,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",0.7494050479648156,0.884251959410902,0.9833448962931312,0.8723339678896163,0.0958766292356829,28,0.9999591372995618,0.9997243988519359,0.999137441692924,0.9996069926148072,0.0003455759307585952
80.6219991048177,11.506147817222255,0.09200302759806316,0.013141735730810549,6,500,3,0.1,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.7529503313876174,0.8838122412214038,0.9842767435270374,0.8736797720453527,0.09471000452971137,23,0.9999995558402126,0.9999962246418073,0.9999580269000934,0.9999846024607044,1.8840904738482628e-05
72.86702005068462,1.3712972529343141,0.1149911880493164,0.0275842832634966,6,500,5,0.03,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 5, 'learning_rate': 0.03}",0.743058004603272,0.8836603385741227,0.9753411369246909,0.8673531600340286,0.09552767991256544,36,0.9988116504888866,0.9951786455080789,0.990300438563374,0.9947635781867797,0.0034870611094114643
72.20369823773702,1.391323578400557,0.099335511525472,0.029408349956956424,6,500,5,0.05,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 5, 'learning_rate': 0.05}",0.7483061966508575,0.8834293754846894,0.981332852456337,0.8710228081972945,0.09553637269949017,32,0.9999347085112563,0.9995296347851732,0.9988700575009261,0.9994448002657852,0.00043876198195161135
77.82177027066548,0.6073855377352562,0.07289791107177734,0.012682583492550237,6,500,5,0.1,"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",0.7508814350980395,0.882817323297691,0.9827825900023185,0.8721604494660163,0.09497267372384112,30,0.9999986675206378,0.9999871193661662,0.9999133888414625,0.9999663919094223,3.777418763986815e-05
116.44082633654277,3.386354533472428,0.07616027196248372,0.00767547502405872,6,800,1,0.03,"{'depth': 6, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.03}",0.7527220332569082,0.8833938427016996,0.9846196348828884,0.873578503613832,0.0949258660605837,24,0.999981567368824,0.9998623104659148,0.9995340763830469,0.9997926514059285,0.0001892112295232779
