iter	Logloss
0	0.6623551211
1	0.6420584666
2	0.6167976748
3	0.6039605566
4	0.5879014365
5	0.5730710515
6	0.5642916657
7	0.5579019679
8	0.5471837315
9	0.5350318275
10	0.5205111353
11	0.5150971991
12	0.5108690065
13	0.5065521747
14	0.5027960633
15	0.4993773977
16	0.4949120929
17	0.4918507941
18	0.487603504
19	0.4809963405
20	0.4772795263
21	0.4742528214
22	0.469535138
23	0.4660263977
24	0.4609088533
25	0.4571222044
26	0.4530824223
27	0.4492739203
28	0.4480313099
29	0.4449496967
30	0.4427782286
31	0.4406927785
32	0.4390171136
33	0.4366942733
34	0.434283235
35	0.4324629934
36	0.4303558738
37	0.428073169
38	0.4252723527
39	0.4225740612
40	0.4207117294
41	0.4183859389
42	0.4159218936
43	0.4126244849
44	0.4099139018
45	0.4080198338
46	0.406283982
47	0.4037874844
48	0.4020667601
49	0.4002522045
50	0.3978880963
51	0.3956105754
52	0.3942468396
53	0.3925672902
54	0.3909062335
55	0.3886729984
56	0.3868888483
57	0.3850381424
58	0.3828988685
59	0.381364502
60	0.3793255999
61	0.3778364549
62	0.3752515629
63	0.3728973138
64	0.371242197
65	0.3697922099
66	0.36873141
67	0.3671917681
68	0.3657774273
69	0.3640966055
70	0.3629545485
71	0.3614645635
72	0.3597845761
73	0.3580670601
74	0.356674489
75	0.3550214146
76	0.3534352206
77	0.3517471913
78	0.350367573
79	0.3491276932
80	0.3476232673
81	0.3469116335
82	0.3454301802
83	0.3436942268
84	0.3420887452
85	0.3407467105
86	0.3396081953
87	0.3387572157
88	0.3370022708
89	0.335614159
90	0.3345716572
91	0.333474378
92	0.3320925091
93	0.3312169112
94	0.3297413394
95	0.328705725
96	0.3268644455
97	0.3252922274
98	0.3236886196
99	0.3226990501
100	0.3215847501
101	0.3203833401
102	0.3192987021
103	0.3182605518
104	0.3168922879
105	0.3158342627
106	0.314966319
107	0.3139914449
108	0.3129965426
109	0.3112589528
110	0.3099140128
111	0.3084386004
112	0.3069520087
113	0.3057744782
114	0.3047090251
115	0.3033296928
116	0.3025696275
117	0.3016860762
118	0.3006746872
119	0.2993699481
120	0.298493973
121	0.2970475104
122	0.2962683056
123	0.295329047
124	0.2946782246
125	0.2933272903
126	0.2923832442
127	0.2917531897
128	0.2904568164
129	0.2895142903
130	0.2888135046
131	0.2876588723
132	0.2866894836
133	0.2854785052
134	0.2846872911
135	0.2840548598
136	0.2832302954
137	0.2819824519
138	0.2809742825
139	0.2800661591
140	0.2793919699
141	0.2789601504
142	0.2782498805
143	0.27668242
144	0.275537578
145	0.2743499152
146	0.2736171943
147	0.2724946237
148	0.2714122919
149	0.2706392421
150	0.2690620897
151	0.2677712567
152	0.2668019972
153	0.2660640962
154	0.2649609077
155	0.2636562583
156	0.262984925
157	0.2621337135
158	0.2612365624
159	0.2601993749
160	0.2591527981
161	0.2579968663
162	0.2572850974
163	0.256245679
164	0.2550764408
165	0.2544067814
166	0.2537087482
167	0.252803017
168	0.2522472216
169	0.2515976447
170	0.2506314042
171	0.2497173988
172	0.2487596056
173	0.2477691724
174	0.2470825902
175	0.246164737
176	0.2454589783
177	0.2450372238
178	0.2437481911
179	0.2426179192
180	0.2419294704
181	0.2408801467
182	0.2402527698
183	0.2396315579
184	0.238538829
185	0.2374921472
186	0.2365901726
187	0.2356290712
188	0.2342237182
189	0.2335637984
190	0.2327262526
191	0.2317404976
192	0.2307844949
193	0.2300670688
194	0.2289185029
195	0.2281229848
196	0.2276120313
197	0.2269675816
198	0.2263213989
199	0.2254267903
200	0.2242182796
201	0.2235788595
202	0.2226215011
203	0.2219453782
204	0.220903333
205	0.220098132
206	0.2191328785
207	0.2182884203
208	0.2174799967
209	0.2161996308
210	0.2152211134
211	0.2139385817
212	0.2128828824
213	0.212234063
214	0.2114343214
215	0.2109120024
216	0.2100900993
217	0.209263231
218	0.20865944
219	0.2074270641
220	0.2062989523
221	0.2054340104
222	0.2043978737
223	0.2035537332
224	0.2029211293
225	0.2019271444
226	0.2011427585
227	0.199819482
228	0.1989948024
229	0.1981516827
230	0.197247404
231	0.1966538937
232	0.1957696881
233	0.1952589586
234	0.1945409996
235	0.1937869488
236	0.1931700622
237	0.192263048
238	0.1916709447
239	0.1908545368
240	0.1899407966
241	0.1892316833
242	0.1881418962
243	0.1874255862
244	0.1868755118
245	0.1864483813
246	0.1855186105
247	0.1850451893
248	0.1843564779
249	0.1836528753
250	0.1827273653
251	0.181996917
252	0.1813562569
253	0.1807416495
254	0.1801548403
255	0.1792126854
256	0.1786137433
257	0.1778415627
258	0.1770951311
259	0.1762534355
260	0.1752431356
261	0.174707631
262	0.1741218598
263	0.173645219
264	0.1728819358
265	0.1721320166
266	0.1713332031
267	0.1701797732
268	0.1694131177
269	0.1689775791
270	0.1681446589
271	0.1674282945
272	0.1666280812
273	0.1661209343
274	0.165444236
275	0.1648976333
276	0.1644826867
277	0.1640157683
278	0.1632803641
279	0.1627132556
280	0.1621177338
281	0.1616125095
282	0.1608958797
283	0.1603269802
284	0.1598004412
285	0.1593006009
286	0.1587005896
287	0.1579811062
288	0.1572201824
289	0.156507582
290	0.1560410631
291	0.1554819234
292	0.1549290316
293	0.1541271537
294	0.1531836399
295	0.1527629662
296	0.1519782208
297	0.1515390926
298	0.1510248801
299	0.1503589048
300	0.1497044903
301	0.1492656632
302	0.1485354042
303	0.1477496672
304	0.1469455332
305	0.1465376311
306	0.1457229338
307	0.1447608116
308	0.1439993178
309	0.1434361906
310	0.1427039846
311	0.1422486726
312	0.1415639581
313	0.141159996
314	0.1407099498
315	0.140086543
316	0.1396361152
317	0.1391065844
318	0.1385204308
319	0.1381542299
320	0.1375920555
321	0.1370088063
322	0.1365917216
323	0.1360117419
324	0.1355391498
325	0.1351694935
326	0.1346091572
327	0.1342254799
328	0.1337398935
329	0.1334026721
330	0.1328163502
331	0.1324319734
332	0.1318708835
333	0.1314346229
334	0.130933342
